NordnetName
AAK AB
ABB Ltd
Alfa Laval AB
ASSA ABLOY AB ser. B
AstraZeneca PLC
Atlas Copco AB ser. A
Autoliv Inc. SDB
Avanza Bank Holding AB
Axfood AB
Betsson AB ser. B
Billerud Aktiebolag
Boliden AB
Castellum AB
Dometic Group AB
Electrolux, AB ser. B
Elekta AB ser. B
Embracer Group AB ser. B
Epiroc AB ser. A
EQT AB
Ericsson, Telefonab. L M ser. B
Essity AB ser. B
Evolution AB
Fabege AB
Fastighets AB Balder ser. B
Fingerprint Cards AB ser. B
Getinge AB ser. B
Hennes & Mauritz AB, H & M ser. B
Hexagon AB ser. B
HEXPOL AB ser. B
Holmen AB ser. B
Husqvarna AB ser. B
Industrivärden, AB ser. C
Intrum AB
Investor AB ser. B
JM AB
Kinnevik AB ser. B
Latour, Investmentab. ser. B
Lundin Mining Corporation
Millicom International Cellular S.A. SDB
Modern Times Group MTG AB ser. B
NCC AB ser. B
New Wave Group AB ser. B
NIBE Industrier AB ser. B
Nordea Bank Abp
Orrön Energy AB
Ratos AB ser. B
SAAB AB ser. B
Sagax AB B
Samhällsbyggnadsbolaget i Norden AB ser. B
Sandvik AB
Svenska Cellulosa AB SCA ser. B
Skandinaviska Enskilda Banken ser. A
Securitas AB ser. B
Sinch AB
Skanska AB ser. B
SKF, AB ser. B
SSAB AB ser. A
Stora Enso Oyj ser. R
Svenska Handelsbanken ser. A
Swedbank AB ser A
Swedish Orphan Biovitrum AB
Tele2 AB ser. B
Telia Company AB
TRATON SE
Trelleborg AB ser. B
Volvo, AB ser. B
Volvo Car AB ser. B
OMXS30
