OptionName|FinancialReport|X-Day|Premium|PoW_Simulation_Mean_Earnings|100k_Invested_Loss_Mean|1_2_3_ProbOfWorthless_Weighted|ProbWorthless_Bayesian_IsoCal|1_ProbOfWorthless_Original|2_ProbOfWorthless_Calibrated|3_ProbOfWorthless_Historical_IV|Lower_Bound_at_Accuracy|LossAtBadDecline|LossAtWorstDecline|PoW_Stats_MedianLossPct|PoW_Stats_WorstLossPct|PoW_Stats_MedianLoss|PoW_Stats_WorstLoss|PoW_Stats_MedianProbOfWorthless|PoW_Stats_MinProbOfWorthless|PoW_Stats_MaxProbOfWorthless|LossAt100DayWorstDecline|LossAt_2008_100DayWorstDecline|Mean_Accuracy|Lower_Bound_HistMedianIV_at_Accuracy|Lower_Bound|Lower_Bound_HistMedianIV|Bid_Ask_Mid_Price|Option_Price_Min|NumberOfContractsBasedOnLimit|Bid|ProfitLossPctLeastBad|Loss_Least_Bad|IV_AllMedianIV_Maximum100DaysToExp_Ratio|StockPrice|DaysToExpiry|AskBidSpread|Underlying_Value|StrikePrice|StockPrice_After_2008_100DayWorstDecline|LossAt50DayWorstDecline|LossAt_2008_50DayWorstDecline|ProfitLossPctBad|ProfitLossPctWorst|ProfitLossPct100DayWorst|ImpliedVolatility|TodayStockMedianIV_Maximum100DaysToExp|AllMedianIV_Maximum100DaysToExp|ExpiryDate_Lower_Bound_Minus_Pct_Based_on_Accuracy|StrikeBelowLowerAtAcc|StockName|Country|SampleSize|Confidence|ExpiryDate|Ask|WorstHistoricalDecline|BadHistoricalDecline|ImpliedVolatilityUntilExpiry|StockPrice_After_100DayWorstDecline|StockPrice_After_50DayWorstDecline|StockPrice_After_2008_50DayWorstDecline|100DayMaxPrice|100DayMaxPriceDate|50DayMaxPrice|50DayMaxPriceDate|Historical100DaysWorstDecline|Historical50DaysWorstDecline|2008_100DaysWorstDecline|2008_50DaysWorstDecline|IV_2sigma_Decline|BreakevenDecline|CVaR10pct_Decline
HEXB6Q82|Y|Y|1500|-429.8743496793999|-6583.362446802489|0.759841993714596|0.7586206896551724|0.8102796048601942|0.741|0.77|87.0|-31289|-47873|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-28380|-62940|0.7979458982891477|91.4|80.6|88.0|1.375|1.83|12.0|1.15|0.053|-28380|1.865983221773427|96.58|37|1.39|98400|82.0|28.3|-26100|-49020|0.048|0.031|0.053|0.4314312370241641|0.3879504052128271|0.2312085296319721|0.4|Y|Hexagon B|SE|58.0|MEDIUM|2026-05-15|1.6|-0.576975422304059|-0.4338822352722379|0.1653149681904431|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3306|-0.1652|-0.5352420589017586
HEXB6Q84|Y|Y|1890|-432.407935009274|-6515.574309124632|0.7162163089601814|0.6538461538461539|0.7764603714417844|0.67|0.757|87.2|-33299|-49883|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-30389|-64949|0.7979458982891477|91.4|81.0|88.0|1.7|2.36|12.0|1.5|0.062|-30389|1.826279389257996|96.58|37|1.27|100800|84.0|28.3|-28109|-51029|0.057|0.038|0.062|0.4222513722875173|0.3879504052128271|0.2312085296319721|0.4|Y|Hexagon B|SE|52.0|MEDIUM|2026-05-15|1.9|-0.576975422304059|-0.4338822352722379|0.1617974457750544|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3236|-0.1479|-0.5352420589017586
HEXB6Q86|Y|Y|2400|-710.6902322523812|-7104.715006994973|0.6807084098838913|0.6607142857142857|0.7366326971915966|0.63|0.728|87.3|-35189|-51773|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-32280|-66840|0.7979458982891477|91.4|81.2|88.0|2.125|3.03|12.0|1.9|0.074|-32280|1.8015528502127136|96.58|37|1.24|103200|86.0|28.3|-30000|-52920|0.068|0.046|0.074|0.41653438555197|0.3879504052128271|0.2312085296319721|0.4|Y|Hexagon B|SE|56.0|MEDIUM|2026-05-15|2.35|-0.576975422304059|-0.4338822352722379|0.1596068221038268|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3192|-0.1315|-0.5352420589017586
HEXB6Q88|Y|Y|2683|-323.91165062011794|-5311.320236606052|0.6384502079523093|0.6470588235294118|0.6957603781977084|0.598|0.673|87.6|-33974|-49176|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-31307|-62987|0.7979458982891477|91.4|81.5|88.0|2.575|2.7|11.0|2.3|0.086|-31307|1.7588457161637494|96.58|37|1.24|96800|88.0|28.3|-29217|-50227|0.079|0.055|0.086|0.4066601318837134|0.3879504052128271|0.2312085296319721|0.4||Hexagon B|SE|51.0|MEDIUM|2026-05-15|2.85|-0.576975422304059|-0.4338822352722379|0.1558232251108701|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3116|-0.1155|-0.5352420589017586
HEXB6Q90|Y|Y|3315|-824.5679607124497|-6423.821922043207|0.5903728957635678|0.6041666666666666|0.6493334750084151|0.552|0.622|87.7|-35541|-50743|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-32874|-64554|0.7979458982891477|91.4|81.8|88.0|3.1500000000000004|4.12|11.0|2.85|0.101|-32874|1.7321858346069443|96.58|37|1.21|99000|90.0|28.3|-30784|-51794|0.093|0.065|0.101|0.400496139868802|0.3879504052128271|0.2312085296319721|0.4||Hexagon B|SE|48.0|MEDIUM|2026-05-15|3.45|-0.576975422304059|-0.4338822352722379|0.1534613188407078|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3069|-0.1007|-0.5352420589017586
HEXB6Q92|Y|Y|4002|-1251.3929067415193|-7640.529859112515|0.5383049976872669|0.4285714285714285|0.6013324772581241|0.504|0.564|87.9|-37054|-52256|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-34387|-66067|0.7979458982891477|91.4|82.1|88.0|3.775|6.1|11.0|3.45|0.116|-34387|1.693380106133127|96.58|37|1.19|101200|92.0|28.3|-32297|-53307|0.108|0.077|0.116|0.3915239244470732|0.3879504052128271|0.2312085296319721|0.4||Hexagon B|SE|49.0|MEDIUM|2026-05-15|4.1|-0.576975422304059|-0.4338822352722379|0.1500233630791554|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.3|-0.0865|-0.5352420589017586
HEXB6Q94|Y|Y|4855|216.00871015805103|-3869.036883063|0.4624363472307184|0.5737704918032787|0.5494574144353975|0.439|0.469|88.0|-38401|-53603|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-35735|-67415|0.7979458982891477|91.4|82.3|88.0|4.550000000000001|4.1|11.0|4.15|0.136|-35735|1.6712588579573673|96.58|37|1.19|103400|94.0|28.3|-33645|-54655|0.126|0.091|0.136|0.3864093031827318|0.3879504052128271|0.2312085296319721|0.4||Hexagon B|SE|61.0|MEDIUM|2026-05-15|4.95|-0.576975422304059|-0.4338822352722379|0.1480635526179268|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.2961|-0.0738|-0.5352420589017586
HEXB6Q96|Y|Y|5325|-221.45200146269764|-6106.438386793328|0.4740341805660699|0.3333333333333333|0.496002775566354|0.496|0.442|88.0|-35999|-49819|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-33575|-62375|0.7979458982891477|91.4|82.4|88.0|5.475|6.43|10.0|5.0|0.159|-33575|1.6624422393658531|96.58|37|1.19|96000|96.0|28.3|-31675|-50775|0.148|0.107|0.159|0.3843708257618619|0.3879504052128271|0.2312085296319721|0.4||Hexagon B|SE|36.0|MEDIUM|2026-05-15|5.95|-0.576975422304059|-0.4338822352722379|0.1472824528711573|57.1|59.0|39.9|118.25|2025-11-11|101.0|2026-03-16|-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.2946|-0.0627|-0.5352420589017586
HEXB6R65|Y|Y|465|-672.9444217145142|-5607.362019653514|0.7895427279837155|0.916015625|0.935336825173203|0.831|0.703|78.2|-24822|-46552|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-16185|-56985|0.7948698489241312|87.8|73.6|85.6|0.41|1.08|15.0|0.12|0.029|-16185|2.093236723645024|96.58|61|5.83|97500|65.0|26.7|0|0|0.019|0.01|0.029|0.4839741850456128|0.3879504052128271|0.2312085296319721|0.2|Y|Hexagon B|SE|1024.0|HIGH|2026-06-18|0.7|-0.651529887035236|-0.5015333622015427|0.2381150492169471|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.4762|-0.3312|-0.6184807802039327
HEXB6R70|Y|Y|760|-750.3886908986967|-5775.024424457926|0.7717537114028152|0.8326068003487358|0.9054114954610164|0.801|0.703|79.3|-29841|-50122|-0.0402430871212121|-0.2472573770491803|-4043.51875|-24132.32|0.8754194402907496|0.7004268548159793|0.9998877362218154|-21779|-59859|0.7948698489241312|87.8|75.0|85.6|0.6499999999999999|1.22|14.0|0.35|0.035|-21779|1.9613145138952224|96.58|61|2.71|98000|70.0|26.7|0|0|0.025|0.015|0.035|0.4534726449035604|0.3879504052128271|0.2312085296319721|0.2|Y|Hexagon B|SE|1147.0|HIGH|2026-06-18|0.95|-0.651529887035236|-0.5015333622015427|0.2231083072118276|53.9|||111.5|2026-01-09|||-0.5167462111697229|-0.4161814547666637|-0.7609046849757674|-0.6046981372035611|-0.4462|-0.2819|-0.6184807802039327
