Stock,ProbMethod,HistoricalPeakThreshold,CurrentProb_Bin,DTE_Bin,RecoveryCandidate_N,RecoveryCandidate_WorthlessCount,RecoveryCandidate_WorthlessRate_pct,AllOptions_N,AllOptions_WorthlessCount,AllOptions_WorthlessRate_pct,RecoveryAdvantage_pp
Castellum AB,Weighted Average,0.8,60-70%,22-28,12,7,58.333333333333336,22,11,50.0,8.333333333333336
Castellum AB,Weighted Average,0.8,80-90%,15-21,21,19,90.47619047619048,21,19,90.47619047619048,0.0
Castellum AB,Weighted Average,0.8,80-90%,8-14,52,44,84.61538461538461,52,44,84.61538461538461,0.0
Castellum AB,Weighted Average,0.8,80-90%,0-7,21,19,90.47619047619048,21,19,90.47619047619048,0.0
Castellum AB,Weighted Average,0.8,80-90%,36+,153,143,93.4640522875817,153,143,93.4640522875817,0.0
Castellum AB,Weighted Average,0.8,80-90%,29-35,38,32,84.21052631578947,38,32,84.21052631578947,0.0
Castellum AB,Weighted Average,0.8,80-90%,22-28,30,26,86.66666666666667,30,26,86.66666666666667,0.0
Castellum AB,Weighted Average,0.8,70-80%,15-21,13,11,84.61538461538461,15,13,86.66666666666667,-2.051282051282058
Castellum AB,Weighted Average,0.8,70-80%,8-14,27,24,88.88888888888889,53,40,75.47169811320755,13.417190775681334
Castellum AB,Weighted Average,0.8,70-80%,36+,173,156,90.17341040462428,220,180,81.81818181818183,8.35522858644245
Castellum AB,Weighted Average,0.8,70-80%,29-35,15,14,93.33333333333333,20,16,80.0,13.333333333333329
Castellum AB,Weighted Average,0.8,70-80%,0-7,12,10,83.33333333333334,26,23,88.46153846153845,-5.12820512820511
Castellum AB,Weighted Average,0.8,70-80%,22-28,18,12,66.66666666666666,24,17,70.83333333333334,-4.166666666666686
Castellum AB,Weighted Average,0.8,50-60%,15-21,5,5,100.0,11,8,72.72727272727273,27.272727272727266
Castellum AB,Weighted Average,0.8,50-60%,8-14,6,6,100.0,34,15,44.11764705882353,55.88235294117647
Castellum AB,Weighted Average,0.8,50-60%,36+,125,108,86.4,198,128,64.64646464646465,21.753535353535355
Castellum AB,Weighted Average,0.8,50-60%,29-35,13,9,69.23076923076923,17,11,64.70588235294117,4.524886877828052
Castellum AB,Weighted Average,0.8,50-60%,0-7,18,13,72.22222222222221,35,22,62.857142857142854,9.36507936507936
Castellum AB,Weighted Average,0.8,50-60%,22-28,13,10,76.92307692307693,20,11,55.00000000000001,21.923076923076927
Dometic Group AB,Weighted Average,0.8,80-90%,0-7,34,31,91.17647058823529,34,31,91.17647058823529,0.0
Dometic Group AB,Weighted Average,0.8,80-90%,8-14,125,119,95.19999999999999,125,119,95.19999999999999,0.0
Dometic Group AB,Weighted Average,0.8,80-90%,36+,4,4,100.0,4,4,100.0,0.0
Dometic Group AB,Weighted Average,0.8,80-90%,29-35,31,25,80.64516129032258,31,25,80.64516129032258,0.0
Dometic Group AB,Weighted Average,0.8,70-80%,0-7,11,10,90.9090909090909,114,93,81.57894736842105,9.330143540669852
Dometic Group AB,Weighted Average,0.8,70-80%,15-21,33,33,100.0,67,53,79.1044776119403,20.895522388059703
Dometic Group AB,Weighted Average,0.8,70-80%,8-14,36,31,86.11111111111111,68,54,79.41176470588235,6.699346405228766
