date|year|month|name|type_of_event|event_value|open|high|low|close|volume|volume_pct_change_from_previous_day|close_price_pct_change_from_previous_day|intraday_high_low_price_diff|pct_intraday_high_low_movement|pct_intraday_open_close_movement
2009-05-19|2009|5|AAK AB|Kvartalsrapport|2009-Q1|20.0|20.042|17.458|17.875|3922696.0|1.9905868881229507|-0.09111709971017445|2.584000000000003|-0.1480123725512661|-0.10625
2009-08-11|2009|8|AAK AB|Kvartalsrapport|2009-Q2|19.292|19.917|19.125|19.792|3034019.0|6.335582672272687|0.0969958984591508|0.7920000000000016|-0.04141176470588244|0.025917478747667425
2009-11-06|2009|11|AAK AB|Kvartalsrapport|2009-Q3|25.0|25.667|23.833|24.917|1010577.0|2.0504393444998175|0.001688442211055241|1.8340000000000032|-0.07695212520454846|-0.0033199999999999363
2010-02-19|2010|2|AAK AB|Bokslutskommuniké|2009|28.75|31.083|28.333|30.75|1879724.0|3.4691594606739438|0.06956521739130439|2.75|-0.09705996541135778|0.06956521739130435
2010-05-21|2010|5|AAK AB|Kvartalsrapport|2010-Q1|27.5|28.083|24.708|25.167|1331901.0|3.262287789813911|-0.10383506035679935|3.375|-0.1365954346770277|-0.08483636363636358
2010-08-18|2010|8|AAK AB|Kvartalsrapport|2010-Q2|25.167|26.0|24.667|25.583|641152.0|-0.3964475095006387|-0.016038461538461557|1.3329999999999984|-0.05403981027283408|0.016529582389637094
2010-11-02|2010|11|AAK AB|Kvartalsrapport|2010-Q3|27.167|27.25|25.917|26.417|597130.0|1.1196996858415718|-0.003132075471698026|1.3329999999999984|-0.051433422078172565|-0.027607023226708872
2011-02-18|2011|2|AAK AB|Bokslutskommuniké|2010|28.333|29.083|28.333|28.917|172079.0|0.6789669336819819|0.03275000000000006|0.75|-0.026470899657643033|0.020612007200084822
2011-05-04|2011|5|AAK AB|Kvartalsrapport|2011-Q1|32.833|33.0|31.75|32.333|174173.0|-0.6163649459149309|-0.015228581000822361|1.25|-0.03937007874015748|-0.015228581000822344
2011-07-20|2011|7|AAK AB|Kvartalsrapport|2011-Q2|29.5|31.25|29.5|30.833|202667.0|3.3891066594477532|0.04225399722813772|1.75|-0.059322033898305086|0.045186440677966046
2011-11-07|2011|11|AAK AB|Kvartalsrapport|2011-Q3|28.917|28.917|28.167|28.333|123725.0|1.2541767631679632|-0.02300000000000002|0.75|-0.02662690382362339|-0.020195732614033377
2012-02-09|2012|2|AAK AB|Bokslutskommuniké|2011|35.5|36.667|34.333|34.667|908524.0|0.9786093694533433|-0.023464788732394326|2.334000000000003|-0.0679812425363354|-0.023464788732394323
2012-05-03|2012|5|AAK AB|Kvartalsrapport|2012-Q1|38.0|39.083|38.0|39.083|388883.0|0.2431486377193346|0.02849999999999997|1.0829999999999984|-0.02849999999999996|0.02849999999999996
