Stock,Date,HitRate,Total
Atlas Copco AB ser. A,2025-02,97.88732394366197,142
Atlas Copco AB ser. A,2025-03,74.3859649122807,285
Atlas Copco AB ser. A,2025-04,27.200000000000003,125
Atlas Copco AB ser. A,2025-05,82.08955223880598,134
Atlas Copco AB ser. A,2025-06,60.86956521739131,207
Atlas Copco AB ser. A,2025-07,90.2439024390244,123
Atlas Copco AB ser. A,2025-08,82.1917808219178,146
Atlas Copco AB ser. A,2025-09,98.46153846153847,325
Atlas Copco AB ser. A,2025-10,94.5945945945946,148
Atlas Copco AB ser. A,2025-11,79.86577181208054,149
Atlas Copco AB ser. A,2025-12,100.0,324
Avanza Bank Holding AB,2024-04,100.0,1
Avanza Bank Holding AB,2024-05,100.0,18
Avanza Bank Holding AB,2024-06,100.0,41
Avanza Bank Holding AB,2024-07,41.66666666666667,60
Avanza Bank Holding AB,2024-08,83.5820895522388,67
Avanza Bank Holding AB,2024-09,100.0,105
Avanza Bank Holding AB,2024-10,89.70588235294117,68
Avanza Bank Holding AB,2024-11,85.07462686567165,67
Avanza Bank Holding AB,2024-12,100.0,170
Avanza Bank Holding AB,2025-01,100.0,63
Avanza Bank Holding AB,2025-02,98.52941176470588,68
Avanza Bank Holding AB,2025-03,99.11504424778761,226
Avanza Bank Holding AB,2025-04,100.0,66
Avanza Bank Holding AB,2025-05,100.0,61
Avanza Bank Holding AB,2025-06,87.76978417266187,139
Avanza Bank Holding AB,2025-07,100.0,65
Avanza Bank Holding AB,2025-08,100.0,66
Avanza Bank Holding AB,2025-09,100.0,235
Avanza Bank Holding AB,2025-10,100.0,69
Avanza Bank Holding AB,2025-11,94.5945945945946,74
Avanza Bank Holding AB,2025-12,100.0,245
Axfood AB,2024-04,100.0,1
Axfood AB,2024-05,76.47058823529412,17
Axfood AB,2024-06,89.1891891891892,37
Axfood AB,2024-07,57.14285714285714,56
Axfood AB,2024-08,100.0,57
Axfood AB,2024-09,100.0,93
Axfood AB,2024-10,96.72131147540983,61
Axfood AB,2024-11,22.950819672131146,61
Axfood AB,2024-12,28.205128205128204,156
Axfood AB,2025-01,89.65517241379311,58
Axfood AB,2025-02,83.07692307692308,65
Axfood AB,2025-03,42.71844660194174,206
Axfood AB,2025-04,100.0,63
Axfood AB,2025-05,100.0,59
Axfood AB,2025-06,97.77777777777777,135
Axfood AB,2025-07,100.0,65
Axfood AB,2025-08,100.0,66
Axfood AB,2025-09,100.0,231
Axfood AB,2025-10,95.65217391304348,69
Axfood AB,2025-11,72.97297297297297,74
Axfood AB,2025-12,100.0,233
Betsson AB ser. B,2024-04,100.0,1
Betsson AB ser. B,2024-05,94.11764705882352,17
Betsson AB ser. B,2024-06,100.0,41
Betsson AB ser. B,2024-07,100.0,61
Betsson AB ser. B,2024-08,100.0,65
Betsson AB ser. B,2024-09,100.0,103
Betsson AB ser. B,2024-10,98.48484848484848,66
Betsson AB ser. B,2024-11,100.0,68
Betsson AB ser. B,2024-12,100.0,169
Betsson AB ser. B,2025-01,96.82539682539682,63
Betsson AB ser. B,2025-02,97.05882352941177,68
Betsson AB ser. B,2025-03,99.10714285714286,224
Betsson AB ser. B,2025-04,100.0,66
Betsson AB ser. B,2025-05,100.0,61
Betsson AB ser. B,2025-06,99.28057553956835,139
Betsson AB ser. B,2025-07,40.0,65
Betsson AB ser. B,2025-08,24.242424242424242,66
Betsson AB ser. B,2025-09,76.92307692307693,234
Betsson AB ser. B,2025-10,82.6086956521739,69
Betsson AB ser. B,2025-11,98.64864864864865,74
Betsson AB ser. B,2025-12,81.78137651821862,247
Billerud Aktiebolag,2024-04,100.0,1
Billerud Aktiebolag,2024-05,100.0,14
Billerud Aktiebolag,2024-06,83.78378378378379,37
Billerud Aktiebolag,2024-07,100.0,58
Billerud Aktiebolag,2024-08,100.0,65
Billerud Aktiebolag,2024-09,99.01960784313727,102
Billerud Aktiebolag,2024-10,77.94117647058823,68
Billerud Aktiebolag,2024-11,75.0,68
Billerud Aktiebolag,2024-12,88.55421686746988,166
Billerud Aktiebolag,2025-01,100.0,63
Billerud Aktiebolag,2025-02,100.0,68
Billerud Aktiebolag,2025-03,92.82511210762333,223
Billerud Aktiebolag,2025-04,17.91044776119403,67
Billerud Aktiebolag,2025-05,100.0,61
Billerud Aktiebolag,2025-06,79.71014492753623,138
Billerud Aktiebolag,2025-07,10.76923076923077,65
Billerud Aktiebolag,2025-08,31.818181818181817,66
Billerud Aktiebolag,2025-09,54.581673306772906,251
Billerud Aktiebolag,2025-10,81.15942028985508,69
Billerud Aktiebolag,2025-11,100.0,73
Billerud Aktiebolag,2025-12,98.40637450199203,251
Boliden AB,2024-04,100.0,7
Boliden AB,2024-05,96.0,75
