DataType|Stock|HistoricalPeakThreshold|ProbMethod|CurrentProb_Bin|DTE_Bin|RecoveryCandidate_N|RecoveryCandidate_WorthlessCount|RecoveryCandidate_WorthlessRate_pct|AllOptions_N|AllOptions_WorthlessCount|AllOptions_WorthlessRate_pct|RecoveryAdvantage_pp
scenario||0.8|Bayesian Calibrated|50-60%|0-7|2181|1574|72.16872994039431|5556|3254|58.56731461483081|13.6014153255635
scenario||0.8|Bayesian Calibrated|50-60%|15-21|3154|2535|80.37412809131263|5642|3466|61.43211627082594|18.942011820486684
scenario||0.8|Bayesian Calibrated|50-60%|36+|6922|5418|78.27217567177117|10299|6397|62.112826488008544|16.15934918376262
scenario||0.8|Bayesian Calibrated|50-60%|8-14|3230|2385|73.83900928792569|6939|4023|57.97665369649806|15.86235559142763
scenario||0.8|Bayesian Calibrated|50-60%|29-35|1198|901|75.20868113522538|1903|1123|59.01208617971624|16.196594955509134
scenario||0.8|Original Black-Scholes|80-90%|22-28|5602|5056|90.25348089967868|5602|5056|90.25348089967868|0.0
scenario||0.8|Original Black-Scholes|80-90%|0-7|10013|8953|89.41376210925796|10013|8953|89.41376210925796|0.0
scenario||0.8|Original Black-Scholes|80-90%|15-21|10142|9079|89.51883257740091|10142|9079|89.51883257740091|0.0
scenario||0.8|Original Black-Scholes|80-90%|36+|18735|16961|90.53109153989858|18735|16961|90.53109153989858|0.0
scenario||0.8|Original Black-Scholes|80-90%|8-14|11857|10571|89.15408619380956|11857|10571|89.15408619380956|0.0
scenario||0.8|Original Black-Scholes|80-90%|29-35|2553|2282|89.38503721112416|2553|2282|89.38503721112416|0.0
scenario||0.8|Original Black-Scholes|70-80%|22-28|4457|3939|88.37783262284049|5473|4501|82.2400877032706|6.137744919569883
scenario||0.8|Original Black-Scholes|70-80%|15-21|7609|6715|88.25075568405836|9629|7848|81.50379063246443|6.746965051593932
scenario||0.8|Original Black-Scholes|70-80%|36+|16512|14459|87.56661821705426|18802|15266|81.19349005424955|6.373128162804704
scenario||0.8|Original Black-Scholes|70-80%|8-14|8028|6960|86.6965620328849|12261|9721|79.28390832721638|7.412653705668518
scenario||0.8|Original Black-Scholes|70-80%|29-35|2031|1774|87.34613490891186|2370|1946|82.1097046413502|5.2364302675616585
scenario||0.8|Original Black-Scholes|70-80%|0-7|4664|4048|86.79245283018868|10538|8555|81.18238754981971|5.610065280368971
scenario||0.8|Original Black-Scholes|60-70%|22-28|3385|2987|88.24224519940915|5108|3745|73.31636648394675|14.925878715462405
scenario||0.8|Original Black-Scholes|60-70%|15-21|5464|4742|86.78623718887262|8742|6358|72.72935255090368|14.056884637968937
scenario||0.8|Original Black-Scholes|60-70%|0-7|3532|2869|81.22876557191393|9838|7002|71.17300264281357|10.055762929100354
scenario||0.8|Original Black-Scholes|60-70%|8-14|5612|4663|83.08980755523876|11340|7815|68.91534391534393|14.17446363989484
scenario||0.8|Original Black-Scholes|60-70%|36+|13230|11277|85.23809523809524|17916|12636|70.52913596784997|14.708959270245272
scenario||0.8|Original Black-Scholes|60-70%|29-35|1582|1331|84.13400758533503|2190|1590|72.6027397260274|11.531267859307633
scenario||0.8|Original Black-Scholes|50-60%|22-28|2531|2255|89.09521928091664|4720|3097|65.61440677966101|23.480812501255627
scenario||0.8|Original Black-Scholes|50-60%|0-7|2739|2025|73.93209200438116|9275|5661|61.03504043126685|12.897051573114313
scenario||0.8|Original Black-Scholes|50-60%|15-21|3830|3285|85.77023498694517|7927|4950|62.444808881039485|23.325426105905684
scenario||0.8|Original Black-Scholes|50-60%|36+|10101|8430|83.45708345708346|16931|10027|59.22272754119662|24.23435591588684
scenario||0.8|Original Black-Scholes|50-60%|29-35|1277|999|78.23022709475332|2122|1272|59.943449575871824|18.286777518881493
scenario||0.8|Original Black-Scholes|50-60%|8-14|3991|3133|78.50162866449512|10803|6325|58.54855132833472|19.9530773361604
scenario||0.8|Bias Corrected|80-90%|22-28|4930|4515|91.58215010141988|4930|4515|91.58215010141988|0.0
scenario||0.8|Bias Corrected|80-90%|0-7|9803|8628|88.01387330409058|9803|8628|88.01387330409058|0.0
scenario||0.8|Bias Corrected|80-90%|15-21|9800|8606|87.81632653061224|9800|8606|87.81632653061224|0.0
scenario||0.8|Bias Corrected|80-90%|36+|17735|15926|89.79983084296589|17735|15926|89.79983084296589|0.0
scenario||0.8|Bias Corrected|80-90%|8-14|11480|10047|87.51742160278746|11480|10047|87.51742160278746|0.0
scenario||0.8|Bias Corrected|80-90%|29-35|2603|2296|88.20591625048021|2603|2296|88.20591625048021|0.0
scenario||0.8|Bias Corrected|70-80%|22-28|3951|3490|88.33206783092888|5244|4321|82.39893211289092|5.93313571803796
